iter	Passed	Remaining
0	59	148212
1	71	89042
2	79	65966
3	87	54414
4	94	47369
5	102	42708
6	110	39392
7	119	37072
8	127	35174
9	134	33574
10	142	32254
11	151	31442
12	159	30447
13	170	30200
14	179	29686
15	188	29241
16	197	28790
17	204	28222
18	212	27760
19	220	27386
20	228	26968
21	236	26599
22	243	26270
23	252	26019
24	260	25765
25	268	25521
26	276	25314
27	285	25162
28	292	24919
29	300	24707
30	307	24529
31	317	24511
32	325	24326
33	332	24130
34	339	23945
35	347	23755
36	354	23581
37	362	23463
38	369	23339
39	377	23213
40	384	23073
41	392	22945
42	400	22859
43	407	22760
44	415	22665
45	422	22547
46	430	22443
47	437	22343
48	444	22242
49	452	22183
50	460	22119
51	468	22049
52	476	22013
53	484	21958
54	492	21907
55	500	21844
56	508	21790
57	526	22147
58	535	22169
59	543	22115
60	551	22059
61	560	22039
62	568	21998
63	581	22114
64	589	22084
65	601	22168
66	616	22379
67	636	22747
68	653	23027
69	671	23303
70	687	23524
71	707	23864
72	728	24208
73	738	24213
74	752	24322
75	769	24542
76	784	24687
77	799	24814
78	814	24967
79	830	25111
80	843	25190
81	853	25153
82	880	25647
83	893	25692
84	901	25615
85	915	25710
86	925	25662
87	933	25583
88	941	25508
89	949	25428
90	957	25340
91	965	25262
92	973	25208
93	981	25129
94	989	25047
95	997	24968
96	1005	24906
97	1016	24903
98	1024	24845
99	1032	24773
100	1040	24707
101	1047	24631
102	1055	24573
103	1069	24644
104	1077	24588
105	1085	24518
106	1093	24455
107	1102	24413
108	1110	24363
109	1120	24351
110	1129	24306
111	1139	24289
112	1147	24236
113	1155	24178
114	1162	24115
115	1171	24070
116	1179	24019
117	1187	23965
118	1194	23907
119	1202	23854
120	1210	23798
121	1219	23761
122	1226	23711
123	1234	23659
124	1242	23609
125	1250	23567
126	1258	23516
127	1266	23473
128	1274	23425
129	1283	23391
130	1290	23343
131	1299	23318
132	1308	23279
133	1316	23241
134	1324	23204
135	1333	23172
136	1341	23130
137	1350	23109
138	1357	23064
139	1366	23027
140	1373	22978
141	1381	22947
142	1390	22912
143	1398	22881
144	1423	23122
145	1558	25121
146	1568	25104
147	1576	25056
148	1585	25017
149	1593	24967
150	1602	24928
151	1611	24892
152	1619	24844
153	1627	24796
154	1635	24743
155	1643	24696
156	1651	24645
157	1659	24595
158	1667	24551
159	1675	24499
160	1682	24448
161	1690	24396
162	1698	24353
163	1706	24304
164	1714	24257
165	1721	24210
166	1729	24162
167	1737	24120
168	1746	24087
169	1753	24038
170	1761	23989
171	1769	23945
172	1776	23900
173	1784	23856
174	1792	23816
175	1800	23777
176	1810	23761
177	1818	23725
178	1828	23703
179	1835	23663
180	1844	23637
181	1852	23593
182	1860	23551
183	1867	23507
184	1875	23466
185	1882	23419
186	1889	23375
187	1897	23332
188	1904	23290
189	1912	23248
190	1919	23207
191	1928	23176
192	1935	23137
193	1943	23105
194	1951	23067
195	1965	23100
196	1975	23095
197	1983	23062
198	1991	23025
199	2001	23015
200	2009	22985
201	2017	22954
202	2026	22930
203	2034	22899
204	2043	22876
205	2051	22847
206	2060	22823
207	2068	22792
208	2076	22764
209	2084	22731
210	2092	22703
211	2100	22672
212	2112	22681
213	2128	22740
214	2141	22756
215	2150	22740
216	2164	22770
217	2179	22818
218	2195	22864
219	2209	22898
220	2222	22915
221	2231	22897
222	2248	22959
223	2263	22998
224	2281	23071
225	2308	23229
226	2317	23205
227	2330	23225
228	2349	23299
229	2361	23311
230	2376	23345
231	2391	23378
232	2401	23367
233	2413	23376
234	2427	23392
235	2442	23431
236	2457	23464
237	2466	23443
238	2476	23423
239	2484	23394
240	2501	23443
241	2509	23416
242	2517	23383
243	2525	23353
244	2533	23322
245	2541	23288
246	2550	23264
247	2558	23230
248	2565	23194
249	2573	23157
250	2580	23123
251	2589	23096
252	2596	23062
253	2604	23032
254	2612	22997
255	2619	22960
256	2626	22925
257	2635	22901
258	2643	22874
259	2651	22839
260	2658	22806
261	2666	22779
262	2674	22749
263	2682	22721
264	2697	22753
265	2707	22741
266	2721	22759
267	2735	22783
268	2749	22807
269	2759	22792
270	2773	22809
271	2787	22832
272	2801	22854
273	2814	22864
274	2824	22853
275	2839	22880
276	2855	22914
277	2870	22944
278	2886	22974
279	2898	22983
280	2908	22964
281	2930	23048
282	2939	23030
283	2956	23072
284	2970	23085
285	3019	23373
286	3031	23373
287	3039	23346
288	3047	23316
289	3055	23286
290	3064	23261
291	3072	23234
